id,name,description,groupIconUrl,individualIconUrl,photoUrl,Gun,AGM,AAM,ASM,Speed,Auto,Ceiling,Weight
11,F-15; Eagle,"The McDonnell Douglas F-15 Eagle is an American twin-engine, all-weather tactical fighter aircraft designed by McDonnell Douglas (now Boeing) to gain and maintain air supremacy in aerial combat. Following reviews of proposals, the United States Air Force selected McDonnell Douglas' design in 1967 to meet the service's need for a dedicated air superiority fighter. The Eagle first flew in July 1972, and entered service in 1976. It is among the most successful modern fighters, with over 100 victories and no losses in aerial combat, with the majority of the kills by the Israeli Air Force.",group/frcas,individual/frcas,photo/f15,20mm Cannon,null,AIM-120 AMRAAM,null,2665,1967,20000,2665
12,F-16; Fighting Falcon,"The General Dynamics F-16 Fighting Falcon is a single-engine supersonic multirole fighter aircraft originally developed by General Dynamics (now Lockheed Martin) for the United States Air Force (USAF). Designed as an air superiority day fighter, it evolved into a successful all-weather multirole aircraft. Over 4,500 aircraft have been built since production was approved in 1976. Although no longer being purchased by the U.S. Air Force, improved versions are being built for export customers.",group/frcas,individual/frcas,photo/f16,20mm Cannon,AGM-65B Maverick,AIM-120 AMRAAM,AGM 84 Harpon,2450,550,15240,2120
13,F-4; Phantom,"F-4s are no longer in service in the u.S. Military. The qf-4 target drone remains in us service. Several hundred f-4s remain in service with german, japanese, south korea, israeli, greek, and turkish air forces, with several upgrade programs underway in several countries. Planned as an attack aircraft with four 20 mm guns, it was quickly changed into a very advanced gunless all-weather interceptor with advanced radar and missile armament. The aircraft flew every traditional military mission: air superiority, close air support, interception, air defense, suppression, long-range strike, fleet defense, attack, and reconnaissance. ",group/frcas,individual/frcas,photo/f4,20mm Cannon,AGM-65B Maverick,AIM-9L Sidewinder,null,2130,884,21641,2334
14,JAS39; Gripen,"The JAS 39 gripen is a fourth generation, multi-role combat aircraft. The gripen is the first swedish aircraft that can be used for interception, ground-attack, and reconnaissance (hence the swedish abbreviation jas - fighter (j), attack (a), and reconnaissance (r)) and it is now successively replacing the draken and the viggen .The jas 39 is part of a system that fights the ""information war"" in which aircraft receive and convey information through an air-to-air tactical information data link system (tidls). ",group/frcas,individual/frcas,photo/jas39,27mm Cannon,AGM-65B Maverick,AIM-120 AMRAAM,Saab RBS15F,2150,800,16000,2150
15,UH-1N; Iroquois,"The Bell UH-1 Iroquois (nicknamed ""Huey"") is a utility military helicopter powered by a single turboshaft engine, with two-blade main and tail rotors. The first member of the prolific Huey family, it was developed by Bell Helicopter to meet a United States Army's 1952 requirement for a medical evacuation and utility helicopter, and first flew in 1956. The UH-1 was the first turbine-powered helicopter to enter production in 1960 for the United States military, and more than 16,000 have been built since. The Iroquois was originally designated HU-1, hence the Huey nickname, which has remained in common use, despite the official redesignation to UH-1 in 1962. The UH-1 first saw service in combat operations during the Vietnam War, with around 7,000 helicopters deployed.",group/frutilhelo,individual/frutilhelo,photo/uh1n,null,null,null,null,220,507,5910,217
16,UH-60; Blackhawk,"The Sikorsky UH-60 Black Hawk is a four-bladed, twin-engine, medium-lift utility helicopter manufactured by Sikorsky Aircraft. Sikorsky submitted the S-70 design for the United States Army's Utility Tactical Transport Aircraft System (UTTAS) competition in 1972. The Army designated the prototype as the YUH-60A and selected the Black Hawk as the winner of the program in 1976, after a fly-off competition with the Boeing Vertol YUH-61. Named after the Native American war leader Black Hawk, the UH-60A entered service with the U.S. Army in 1979, to replace the Bell UH-1 Iroquois as the Army's tactical transport helicopter. This was followed by the fielding of electronic warfare and special operations variants of the Black Hawk. Improved UH-60L and UH-60M utility variants have also been developed. Modified versions have also been developed for the U.S. Navy, Air Force, and Coast Guard. In addition to U.S. Army use, the UH-60 family has been exported to several nations. Black Hawks have served in combat during conflicts in Grenada, Panama, Iraq, Somalia, the Balkans, Afghanistan, and other areas in the Middle East.",group/frutilhelo,individual/frutilhelo,photo/uh60,null,null,null,null,294,590,3390,280
17,Tornado,"Designed and built as a collaborative project in the uk, germany, and italy, the tornado is in service with all three air forces and the german navy. Tornado is also in service in saudi arabia and oman. It is a twin-seat, twin-engine, variable geometry aircraft and is supersonic at all altitudes. ",group/frcas,individual/frcas,photo/tornado,27mm Cannon,Brimstone,AIM-120 AMRAAM,Sea Eagle,2340,1390,15000,2340
18,CH-47D; Chinook,"The Boeing CH-47 Chinook is an American twin-engine, tandem-rotor, heavy-lift helicopter developed by American rotorcraft company Vertol and manufactured by Boeing Vertol (later known as Boeing Rotorcraft Systems). The CH-47 is among the heaviest lifting Western helicopters. Its name, Chinook, is from the Native American Chinook people of modern-day Washington state.",group/frutilhelo,individual/frutilhelo,photo/ch47d,null,null,null,null,315,640,5640,315
19,Mi-17; HIP-H,"Mi-8M for home use, Mi-17 for export. With Mil Plant design and Kazan, Ulan-Ude plant products, varied mission designs and upgrades, nomenclatures vary. Export nomenclatures vary from Russian military-use products. esigns and upgrades, nomenclatures vary. Export nomenclatures vary from Russian military-use products. More than 12,000 hip helicopters have been produced. Missions include direct air support, transport, reconnaissance, ew, medevac, search and rescue, smoke generating, and minelaying. There are dozens of variants and a more than a dozen upgrades and upgrade packages. Interior seats are removable for cargo carrying. Rescue hoist can lift 150 kg. Cargo sling system capacity is 3,000 kg. The mi-8 is capable of singleengine flight in the event of loss of power by one engine (depending on aircraft mission weight) because of an engine load sharing system. ",group/enutilhelo,individual/enutilhelo,photo/mi17,null,null,null,null,300,580,6000,300
20,Mi-2; Hoplite,"External stores are mounted on weapons racks on each side of the fuselage. Each rack has two hardpoints for a total of four stations. Additional missions include; direct air support, reconnaissance, transport, medevac, airborne command post, smoke generating, minelaying, and training. The cabin door is hinged rather than sliding, which may limit operations. There is no armor protection for the cockpit or cabin. Ammo storage is in the aircraft cabin, so combat load varies by mission. Some mi-2uss currently employ fuselage-mounted weapon racks rather than the 23-mm fuselage-mounted cannon, which is removed. Some variants however, still employ the cannon. ",group/enutilhelo,individual/enutilhelo,photo/mi2,null,null,null,null,220,640,5640,315
21,Mi-24; Hind,"Additional missions include: direct air support, escort, target designation, security, reconnaissance, air to air combat, and anti-ship. Optional upgrades include the mi-28's at-9/ataka 8-missile launcher (16 total), or israeli spike-lr atgm launcher. A new upgrade is addition of a laser target designator in the fcs, which can guide semi-active laser-homing bombs, and laser-guided 57/80/122-mm rockets from pods.",group/encca,individual/encca,photo/mi24,12.7mm,AT-6B HEAT,Ataka 9A2200,null,335,450,4500,335
22,Mi-26; Halo,"The halo a has no armament. The load and lift capabilities of the aircraft are comparable to the u.S. C-130 hercules transport aircraft. The length of the landing gear struts can be hydraulically adjusted to facilitate loading through the rear doors. The tailskid is retractable to allow unrestricted approach to the rear clamshell doors and loading ramp. The cargo compartment has two electric winches (each with 2,500 kg capacity) on overhead rails can move loads along the length of the cabin. The cabin floor has rollers and tie-down rings throughout. The halo has a closed-circuit television system to observe positioning over a sling load, and load operations. The mi-26 is capable of single-engine flight in the event of loss of power by one engine (depending on aircraft mission weight) because of an engine load sharing system. If one engine fails, the other engine's output is automatically increased to allow continued flight.",group/enutilhelo,individual/enutilhelo,photo/mi26,null,null,null,null,295,800,4500,295
23,Mi-28N; HAVOC,"Additional missions include: direct air support, escort, target designation, security, reconnaissance, air to air combat, and anti-ship. Although this aircraft is routinely compared to the U.S. AH-64 apache, it is much larger and less maneuverable than its U.S. counterpart.",group/encca,individual/encca,photo/mi28n,30mm Cannon,AT-6C HEAT,Igla-Super,null,300,475,6000,300
24,Mi-6; Hook,"Removable stub wings, when installed, are fixed at a 15o incidence relative to the longitudinal axis. They provide 20% of the total lift in forward flight. Aircraft production ended in 1981. Aircraft has hydraulically actuated rear clamshell doors and ramp, provisions for internal cargo tie-down rings, an 800 kg capacity internal winch system in cargo compartment, floor capacity is 2,000 kg/m2, and a central hatch in the cabin floor for sling loads.",group/enutilhelo,individual/enutilhelo,photo/mi6,null,null,null,null,300,620,4500,300
25,Mi-8; HIP-C,"Mi-8M for home use, Mi-17 for export. With Mil Plant design and Kazan, Ulan-Ude plant products, varied mission designs and upgrades, nomenclatures vary. Export nomenclatures vary from Russian military-use products. More than 12,000 hip helicopters have been produced. Missions include direct air support, transport, reconnaissance, ew, medevac, search and rescue, smoke generating, and minelaying. There are dozens of variants and a more than a dozen upgrades and upgrade packages. Interior seats are removable for cargo carrying. Rescue hoist can lift 150 kg. Cargo sling system capacity is 3,000 kg. The mi-8 is capable of singleengine flight in the event of loss of power by one engine (depending on aircraft mission weight) because of an engine load sharing system. ",group/enutilhelo,individual/enutilhelo,photo/mi8,null,null,null,null,240,690,4500,250
26,MiG-21; Fishbed,"A principal weakness of the mig-21 design is the rearward shift of the center of gravity as the fuselage tanks are emptied. A full one-third of the fuel on board cannot be used for this reason. The same limitation effectively reduces mach 2 flight time to perfunctory high-speed tests. The mig-21 is a simple, reliable aircraft with honest flying characteristics. It is also considered to be a competent dog-fighter against most western aircraft. India has suffered an almost incredible string of mig-21 crashes since 1998, including several notable incidents that have killed people on the ground. From january 1998 to december 2002 there were over 50 mig-21 crashes, including three that killed a total of 13 people on the ground. Analysts are debating if the age of the aircraft is an issue or if there are serious errors in pilot training. The mig-21 is a short-range day fighter-interceptor with limited possibilities in adverse weather conditions.",group/encas,individual/encas,photo/mig21,23mm Cannon,null,Aphid R-60M,null,2175,1000,18000,2175
27,MiG-23; Flogger,"Inset line-drawing shows nose and intake differences of the mig-27.This difference allows for a laser rangefinder/target designator. The sweep wing is capable of three angles: 16, 45, and 72 degrees. The ventral fin on the bottom rear of the fuselage folds for takeoff and landing. Up to five external fuel tanks can be carried on the mig-23, and four on the mig-27, but the mig-27 can also be fitted for aerial refueling. Available munitions are shown above; not all may be employed at one time. Mission dictates weapons configuration. External stores are mounted on underwing and underbody hardpoints. Each wing has one point, two points are under the intakes along the fuselage, and the center fuselage attachment point gives five total stations. The mig-27 then adds two more bomb racks under the wings for a total of seven stations.",group/encas,individual/encas,photo/mig23,23mm Cannon,Kh-29; Kedge,"R-60M, Aphid",null,2800,1150,18600,2500
28,MiG-29; Fulcrum,"Mig-29/fulcrum a: single seat tactical fighter designed to operate under ground control. Mig-29ub/fulcrum b: operational conversion trainer; two-seat configuration. Air-defense role. Mig-29s/fulcrum c: production multi-role variant fitted with dorsal hump housing upgraded avionics, and uprated flight-control system with some aerodynamic tweaking. Principal upgrade was no-19 fire control radar, which can engage two targets simultaneously. Mig-29sd: fulcrum an export upgrade version of mig-29 to fulcrum c standard. Mig-29sm: current production upgrade with asm capability.",group/encas,individual/encas,photo/mig29,30mm Cannon,Kh-29; Kedge,R-27; Adder,Kh-31; Krypton,2400,1500,18000,2400
29,MiG-31; Foxhound,"The mig-31 is an all-weather, two-seat interceptor with advanced digital avionics. It was the first soviet fighter to have a true look-down, shoot-down capability. Appearance: wings: shoulder-mounted, moderate-swept with squared tips. Engines: two turbofans. Fuselage: rectangular from intakes to exhausts with a long, pointed nose. Tail: tail fins are back-tapered with angular tips and canted outward. Low-mounted flats are swept-back and tapered.",group/encas,individual/encas,photo/mig31,23mm Cannon,null,R-27; Adder,null,2500,1200,24400,2500
30,Ka-27; Helix,"The helix is primarily a naval helicopter, for missions such as ship-based anti-submarine warfare, direct air support, transport, rescue, ew, anti-ship, and air-to-air. The helix has the distinctive contra-rotating main rotor system favored by the kamov bureau. The contra-rotating design eliminates the need for a tail rotor. ",group/enutilhelo,individual/enutilhelo,photo/ka27,null,null,null,null,250,800,6000,250
31,Ka-50; Hokum-N,"The missile targeting system uses a telescopic sight unit (traverse 110 degree , elevation - 60 degree /+30 degree ) with two magnifications/fields of view, a laser augmented tracking capability, tv, and video. Additional missions include: direct air support, escort, target designation, security, reconnaissance, air to air combat, and anti-ship. This aircraft costs approximately $10.7 million, inexpensive compared to other modern attack helicopters; but its performance is similar. Thus many nations consider this aircraft as a good candidate for fielding in attack helicopter squadrons.",group/encca,individual/encca,photo/ka50,30mm Cannon,AT-16 HEAT,Igla-Super,null,310,1000,5500,310
32,Ka-52; Hokum-B,"Tandem, dual-seat cockpit variant of Ka-50, with 85% of its parts in commonality. Although performance is slightly inferior to Ka-50 in some areas (Max g 3.0, 3,600 m hover ceiling), it out-performs its predecessor in other areas (such as 310 km/h max speed), and has an equal service ceiling and range. An upgrade to the more powerful VK-2500 engine has begun. Ka-52 can be used as an air and ground attack. The fire control system employs a mast-mounted FH-01/Arbalet millimeter wave radar covering the front quadrant. The fire control system has a chin-mounted TV, FLIR, and laser in the UOMZ DOES stabilized ball mounted behind the cockpit. Also included is a Prichal laser range-finder/laser target designator (LTD), with a range of 18+ km. It can acquire, autotrack, and engage moving targets at a range of 15 km. Stationary targets can be engaged to 18+ km. The Ka-52 can launch AT-16/Vikhr ATGMs, with LBR guidance.",group/encca,individual/encca,photo/ka52,30mm Cannon,Hermes-A multirole,Hermes-A multirole,Hermes-A multirole,310,1000,5500,310
33,Mirage 2000,"Mirage 2000b: two-seat, combat-capable trainer version. Lacks internal guns. Mirage 2000c: initial production single-seat version. Mirage 2000n: two-seat, nuclear-capable fighter/bomber version in french service only. No internal gun. Moving map display, 60 m penetration altitude. Mirage 2000d: two-seat, conventionally armed variant of the 2000n for low-level and night-time strike mission; some stealth measures applied including gold-film coating on the canopy and camouflage. Mirage 2000-5: conventional multi-mode fighter offered for export.22, 050 lbs. Thrust snecma m53-p20 engine offered as an alternative. Mirage 2000r: reconnaissance version of 2000c. Fitted with camera pods, electronic intelligence and ecm equipment",group/frcas,individual/frcas,photo/mirage2000,30mm Twin Cannon,AS30L,AIM-9L Sidewinder,AM39 Exocet,2630,900,18000,2630
34,AS-665; Tigre,"The Eurocopter (now Airbus Helicopters) Tiger is a four-bladed, twin-engined attack helicopter which first entered service in 2003. It is manufactured by Eurocopter (now Airbus Helicopters), the successor company to Aerospatiale's and DASA's respective helicopter divisions, which designate it as the EC665. Following their languages, in Germany it is known as the Tiger; in France and Spain it is called the Tigre. Development of the Tiger started during the Cold War, and it was initially intended as an anti-tank helicopter platform to be used against a Soviet ground invasion of Western Europe. During its prolonged development period the Soviet Union collapsed, but France and Germany chose to proceed with the Tiger, developing it instead as a multirole attack helicopter. It achieved operational readiness in 2008. The Tiger has the distinction of being the first all-composite helicopter developed in Europe; even the earliest models also incorporate other advanced features such as a glass cockpit, stealth technology, and high agility to increase its survivability. Improved variants have since entered service, outfitted with more powerful engines and compatible with a wider range of weapons. Since the type's introduction to service, Tigers have been used in combat in Afghanistan, Libya, and Mali.",group/frcca,individual/frcca,photo/as665,30mm Cannon,AGM-114 Hellfire HEAT, AIM-92 Stinger,null,290,800,4000,3060
